site_number,status,address,opened_date,project_name,trucking_price_per_load,total_price_per_load,geocoded,distance_miles,roundtrip_minutes
,,"0 E EUCALYPTUS AV, Ontario CA 91762",,,,,False,,
,,"13948 S WALKER AV, ONTARIO CA 91761",,,,,False,,
,,520 S MOUNTAIN AV,,,,,False,,
,,"206 W D ST, ONTARIO CA 91762",,,,,False,,
,,"206 W D ST, ONTARIO CA 91762",,,,,False,,
,,"206 W D ST, ONTARIO CA 91762",,,,,False,,
,,"14535 S HAVEN AV, ONTARIO CA 91762",,,,,False,,
,,"1425 S TOYOTA WY, ONTARIO CA 91761",,,,,False,,
,,United States,,,,,False,,
,,nan,,,,,False,,
,,"130 W G ST, ONTARIO CA 91762",,,,,False,,
,,"130 W G ST, ONTARIO CA 91762",,,,,False,,
,,"105 N EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"320 N EUCLID AV, ONTARIO CA 91764",,,,,False,,
,,"2529 S EUCLID AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"730 N MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"320 N EUCLID AV, ONTARIO CA 91764",,,,,False,,
,,"1114 S MAGNOLIA AV, BLDG A, ONTARIO CA 91762",,,,,False,,
,,"14717 S HAVEN AV, ONTARIO CA 91762",,,,,False,,
,,nan,,,,,False,,
,,"5691 E PHILADELPHIA ST, B, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,nan,,,,,False,,
,,"2529 S EUCLID AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"2055 S FERN AV, ONTARIO CA 91762",,,,,False,,
,,"644 E NOCTA ST, SUITE A, ONTARIO CA 91761",,,,,False,,
,,"1517 N AMADOR AV, ONTARIO CA 91764",,,,,False,,
,,"1245 S GROVE AV, ONTARIO CA 91761",,,,,False,,
,,"206 W D ST, ONTARIO CA 91762",,,,,False,,
,,"3639 E GUASTI RD, ONTARIO CA 91761",,,,,False,,
,,"791 N MILLIKEN AV, ONTARIO CA 91764",,,,,False,,
,,"13715 N BON VIEW AV, ONTARIO CA 91761",,,,,False,,
,,"1114 S MAGNOLIA AV, BLDG A, Ontario CA 91762",,,,,False,,
,,"535 N TURNER AV, ONTARIO CA 91761",,,,,False,,
,,"105 N EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"535 N TURNER AV, ONTARIO CA 91761",,,,,False,,
,,"1223 E CAROLINE CT, ONTARIO CA 91764",,,,,False,,
,,"213 E LA DENEY DR, BLDG A, ONTARIO CA 91764",,,,,False,,
,,"5691 E PHILADELPHIA ST, B, ONTARIO CA 91761",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"418 N LEMON AV, ONTARIO CA 91764",,,,,False,,
,,"127 E FOURTH ST, ONTARIO CA 91764",,,,,False,,
,,"750 N ARCHIBALD AV, SUITE 1-E, ONTARIO CA 91764",,,,,False,,
,,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",,,,,False,,
,,"127 E FOURTH ST, Ontario CA 91764",,,,,False,,
,,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"750 N ARCHIBALD AV, SUITE 1-E, ONTARIO CA 91764",,,,,False,,
,,"127 E FOURTH ST, ONTARIO CA 91764",,,,,False,,
,,"1129 E OLIVE CT, ONTARIO CA 91764",,,,,False,,
,,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"127 E FOURTH ST, ONTARIO CA 91764",,,,,False,,
,,"2661 E GRAND PARK ST, ONTARIO CA 91762",,,,,False,,
,,"215 E C ST, ONTARIO CA 91761",,,,,False,,
,,"1340 E FIFTH ST, BLDG 7, ONTARIO CA 91764",,,,,False,,
,,"901 W FRANCIS ST, BLDG E, ONTARIO CA 91762",,,,,False,,
,,"2775 E PHILADELPHIA ST, ONTARIO CA 91761",,,,,False,,
,,"1528 W HOLT BL, ONTARIO CA 91762",,,,,False,,
,,"2775 E PHILADELPHIA ST, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"4105 E INLAND EMPIRE BL, Ontario CA 91764",,,,,False,,
,,"2775 E PHILADELPHIA ST, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"1754 S EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"1656 S MAGNOLIA AV, ONTARIO CA 91762",,,,,False,,
,,"1656 S MAGNOLIA AV, ONTARIO CA 91762",,,,,False,,
,,"1429 N EUCLID AV, ONTARIO CA 91762",,,,,False,,
